iter,best_fitness,time,
1,0.206,1606124109.470489
2,0.206,1606124440.172396
3,0.206,1606124757.702322
4,0.068,1606125130.615319
5,0.068,1606125447.54452
6,0.068,1606125742.698791
7,0.068,1606126049.050786
8,0.068,1606126399.557651
9,0.068,1606126704.59184
10,0.068,1606127160.772287
11,0.068,1606127597.3916612
12,0.068,1606128004.8196092
13,0.068,1606128417.279937
14,0.068,1606128979.7602408
15,0.068,1606130300.289116
16,0.068,1606130782.2675688
17,0.068,1606131213.33582
18,0.068,1606131653.066711
19,0.068,1606132124.566495
20,0.068,1606132552.686878
21,0.068,1606133150.522759
22,0.068,1606133671.314454
23,0.068,1606134211.303574
24,0.068,1606134778.705222
25,0.068,1606135288.640749
26,0.068,1606135681.167904
27,0.068,1606135859.6286452
28,0.068,1606136363.392124
29,0.068,1606136911.347541
30,0.068,1606137419.938995
31,0.068,1606137985.264715
32,0.068,1606138565.6529222
33,0.068,1606139144.4968052
34,0.068,1606139752.907179
