1,0.283,1606168405.5422342
2,0.283,1606168500.851995
3,0.283,1606168647.3452559
4,0.283,1606168849.2231622
5,0.149,1606169104.0738418
6,0.149,1606169312.825323
7,0.149,1606169481.535111
8,0.149,1606169758.028606
9,0.149,1606169997.769407
10,0.149,1606170282.465754
11,0.149,1606170599.8377678
12,0.149,1606170805.832448
13,0.149,1606171099.5277581
14,0.149,1606171409.716492
15,0.149,1606171685.0878139
16,0.149,1606171979.1057332
17,0.149,1606172290.864256
18,0.149,1606172589.588361
19,0.149,1606172812.5939682
20,0.149,1606172999.280571
21,0.149,1606173149.2022579
22,0.149,1606173368.2734132
23,0.149,1606173534.5846038
24,0.149,1606173796.4091892
25,0.149,1606174076.023276
26,0.149,1606174431.970261
4001,0.149,1606174721.364824
