iter,best_fitness,time,
1,0.103,1606264047.8079498
1,0.006,1606264552.035926
2,0.006,1606264860.040111
3,0.006,1606265103.4756014
4,0.006,1606265289.5033255
5,0.006,1606265553.988543
6,0.006,1606265754.4042656
7,0.006,1606265963.1477556
8,0.006,1606266223.4115033
9,0.006,1606266407.8505893
10,0.006,1606266654.8080566
11,0.006,1606266974.346282
12,0.006,1606267209.7865202
13,0.006,1606267444.2582846
14,0.006,1606267717.0308905
15,0.006,1606267990.6681216
16,0.006,1606268186.4500046
17,0.006,1606268476.9764597
18,0.006,1606268727.2175813
19,0.006,1606269189.841529
20,0.006,1606269487.4007626
21,0.006,1606269752.118252
22,0.006,1606270044.7133377
23,0.006,1606270300.9930367
24,0.006,1606270523.9321363
25,0.006,1606270719.7555509
26,0.006,1606271026.7645774
27,0.006,1606271272.3005846
28,0.006,1606271499.9798896
29,0.006,1606271892.3161418
30,0.006,1606272165.0471883
31,0.006,1606272335.050336
32,0.006,1606272674.706799
33,0.006,1606272942.595351
34,0.006,1606273235.2757099
35,0.006,1606273628.6865635
36,0.006,1606274048.1882508
37,0.006,1606274477.1459494
38,0.006,1606274690.5222175
39,0.006,1606275042.5354018
40,0.006,1606275344.337886
41,0.006,1606275792.8436995
42,0.006,1606276302.4309373
43,0.006,1606276796.6781738
44,0.006,1606277079.9747524
45,0.006,1606277474.019204
46,0.006,1606277979.4236789
47,0.006,1606278452.7173302
48,0.006,1606278780.9382865
49,0.006,1606279011.8077943
50,0.006,1606279295.4173856
51,0.006,1606279586.4494061
52,0.006,1606279898.5830023
4001,0.006,1606280180.96694
