iter,best_fitness,time,
1,0.36,1605738037.779403
2,0.36,1605738217.159414
3,0.308,1605738421.273155
4,0.308,1605738663.743575
5,0.308,1605739016.5444212
6,0.308,1605739393.031716
7,0.308,1605740110.172705
8,0.308,1605740778.7570329
9,0.279,1605741364.657332
10,0.279,1605741863.0843441
11,0.279,1605742392.890469
12,0.279,1605742632.54609
13,0.279,1605742890.0928361
14,0.279,1605743395.4688919
15,0.279,1605743581.9030411
16,0.279,1605743965.504261
17,0.279,1605744395.774003
18,0.279,1605744783.629087
19,0.279,1605745249.789053
20,0.279,1605745677.330453
21,0.279,1605746183.1768708
22,0.268,1605746532.1640441
23,0.24,1605747129.230933
24,0.24,1605747598.511905
25,0.24,1605747933.150035
26,0.24,1605748264.500639
27,0.24,1605748410.418046
28,0.24,1605748625.2912169
29,0.24,1605748790.338212
30,0.24,1605749005.779518
31,0.24,1605749218.7328792
32,0.24,1605749369.339917
33,0.24,1605749505.030727
34,0.218,1605749708.083128
35,0.218,1605749839.137168
36,0.218,1605750014.823355
37,0.218,1605750246.039568
38,0.218,1605750464.05685
39,0.218,1605750744.087088
40,0.218,1605750936.7162418
41,0.218,1605751089.961283
42,0.218,1605751289.381709
43,0.218,1605751402.40959
44,0.218,1605751528.3959901
45,0.218,1605751689.110522
46,0.218,1605751973.722455
47,0.218,1605752323.429924
48,0.218,1605752602.2259479
49,0.218,1605752917.5064478
50,0.218,1605753201.707802
51,0.218,1605753540.291466
52,0.218,1605753816.345694
53,0.218,1605754141.873739
54,0.218,1605754329.772011
55,0.218,1605754510.046388
56,0.218,1605754794.776883
57,0.218,1605755009.484579
58,0.218,1605755190.8983529
59,0.218,1605755517.22994
60,0.218,1605755840.4832268
61,0.218,1605756202.2932868
62,0.218,1605756555.581014
63,0.211,1605756874.514265
64,0.211,1605757213.567351
65,0.211,1605757668.035837
66,0.211,1605758098.385361
67,0.211,1605758334.961576
68,0.211,1605758679.889554
69,0.211,1605758911.214663
70,0.211,1605759221.467516
71,0.211,1605759532.6243432
72,0.211,1605759811.1397288
73,0.211,1605760201.5211809
74,0.211,1605760684.2209952
75,0.211,1605761208.878601
76,0.211,1605761719.646302
77,0.211,1605762201.351613
78,0.211,1605762765.100275
79,0.211,1605763110.773854
80,0.211,1605763580.510401
81,0.211,1605764177.00831
82,0.211,1605764568.08252
83,0.211,1605764959.491327
84,0.211,1605765524.478601
85,0.211,1605765922.147342
86,0.211,1605766371.947389
87,0.211,1605766962.6624472
88,0.211,1605767261.395823
89,0.211,1605767609.510412
90,0.211,1605768110.289662
91,0.211,1605768364.7432299
92,0.211,1605768751.6007712
93,0.211,1605769355.069854
94,0.211,1605769735.842284
95,0.211,1605770253.647796
