iter,best_fitness,time,
1,0.124,1606259595.0323799
2,0.124,1606259699.5288901
3,0.091,1606259900.18923
4,0.032,1606259996.7483351
5,0.032,1606260083.480256
6,0.032,1606260216.658741
7,0.032,1606260346.463752
8,0.032,1606260475.502361
9,0.032,1606260588.232702
10,0.032,1606260746.151443
11,0.032,1606260882.186351
12,0.032,1606261078.463558
13,0.032,1606261191.8599
14,0.032,1606261300.783921
15,0.032,1606261435.089704
16,0.032,1606261544.46895
17,0.032,1606261657.584542
18,0.032,1606261836.261087
19,0.032,1606262081.934567
20,0.032,1606262212.115482
21,0.032,1606262323.238178
22,0.032,1606262436.3340201
23,0.032,1606262551.4764109
24,0.032,1606262556.3445023
25,0.032,1606262666.5829592
26,0.032,1606262778.1024590
27,0.032,1606262908.1205846
28,0.032,1606263024.1430520
29,0.032,1606263164.9632060
30,0.032,1606263239.1345839
31,0.032,1606263374.5320012
32,0.032,1606263484.5720720
